[a, b] = [0, 2]
h = 0.001 
 
  n            x1            v1            x2            v2
495      1.056123     -0.524654     -0.340057     -0.493115
496      1.055598     -0.525352     -0.340550     -0.492066
497      1.055073     -0.526049     -0.341042     -0.491017
498      1.054546     -0.526744     -0.341532     -0.489966
499      1.054019     -0.527438     -0.342021     -0.488914
500      1.053491     -0.528130     -0.342510     -0.487860
501      1.052963     -0.528821     -0.342997     -0.486805
502      1.052434     -0.529511     -0.343483     -0.485749
503      1.051904     -0.530199     -0.343969     -0.484692
504      1.051373     -0.530885     -0.344453     -0.483633
505      1.050842     -0.531570     -0.344936     -0.482573
506      1.050310     -0.532254     -0.345418     -0.481512
507      1.049778     -0.532936     -0.345899     -0.480449
508      1.049244     -0.533617     -0.346379     -0.479385
509      1.048710     -0.534296     -0.346858     -0.478320
510      1.048176     -0.534974     -0.347336     -0.477254
511      1.047640     -0.535650     -0.347812     -0.476186
512      1.047104     -0.536325     -0.348288     -0.475118
513      1.046568     -0.536998     -0.348762     -0.474047
514      1.046030     -0.537670     -0.349236     -0.472976
515      1.045492     -0.538341     -0.349708     -0.471903
516      1.044954     -0.539010     -0.350180     -0.470829
517      1.044414     -0.539678     -0.350650     -0.469754
518      1.043874     -0.540344     -0.351119     -0.468677
519      1.043334     -0.541009     -0.351587     -0.467600
520      1.042792     -0.541672     -0.352055     -0.466521
521      1.042250     -0.542334     -0.352520     -0.465440
522      1.041708     -0.542994     -0.352985     -0.464359
523      1.041164     -0.543653     -0.353449     -0.463276
524      1.040620     -0.544310     -0.353912     -0.462192
525      1.040076     -0.544966     -0.354374     -0.461106
526      1.039530     -0.545621     -0.354834     -0.460020
527      1.038985     -0.546274     -0.355294     -0.458932
528      1.038438     -0.546926     -0.355752     -0.457843
529      1.037891     -0.547576     -0.356209     -0.456752
530      1.037343     -0.548225     -0.356666     -0.455661
531      1.036794     -0.548872     -0.357121     -0.454568
532      1.036245     -0.549518     -0.357575     -0.453473
533      1.035695     -0.550162     -0.358028     -0.452378
534      1.035145     -0.550805     -0.358479     -0.451281
535      1.034594     -0.551447     -0.358930     -0.450183
536      1.034042     -0.552087     -0.359380     -0.449084
537      1.033489     -0.552725     -0.359828     -0.447984
538      1.032936     -0.553362     -0.360276     -0.446882
539      1.032383     -0.553998     -0.360722     -0.445779
540      1.031828     -0.554632     -0.361167     -0.444675
541      1.031273     -0.555265     -0.361611     -0.443569
542      1.030718     -0.555896     -0.362054     -0.442463
543      1.030162     -0.556526     -0.362496     -0.441355
544      1.029605     -0.557155     -0.362937     -0.440246
545      1.029047     -0.557781     -0.363377     -0.439135
